,carat,cut,color,clarity,depth,table,x,y,z,price
6692,0.31,3,1,2,62.3,59.0,4.29,4.32,2.68,408
16718,0.3,2,6,3,62.9,55.0,4.31,4.34,2.72,610
5692,1.01,2,1,2,60.3,57.0,6.51,6.53,3.93,3888
46979,0.23,2,4,5,62.0,58.0,3.89,3.92,2.42,530
51566,0.7,1,1,4,63.1,57.0,5.59,5.67,3.55,2390
52960,0.24,2,5,6,63.7,57.0,3.92,3.93,2.5,552
22584,1.25,4,3,5,62.5,54.0,6.88,6.93,4.31,10636
18823,1.26,4,3,2,61.9,56.0,6.92,6.98,4.3,7711
49813,0.7,2,1,3,61.1,60.0,5.67,5.75,3.49,2166
30091,0.32,4,2,4,63.0,57.0,4.39,4.37,2.76,720
10696,0.9,2,4,3,62.3,59.0,6.1,6.16,3.82,4846
50916,0.56,4,4,5,60.3,56.0,5.39,5.35,3.24,2318
30794,0.3,4,5,5,62.3,54.0,4.31,4.36,2.7,742
42782,0.5,4,2,3,61.3,56.0,5.12,5.16,3.15,1349
40284,0.34,4,1,3,61.5,55.0,4.53,4.55,2.79,495
43190,0.55,4,1,3,62.6,57.0,5.21,5.23,3.27,1393
10443,1.0,3,2,2,59.4,58.0,6.51,6.46,3.85,4788
33714,0.33,4,2,7,61.1,56.0,4.47,4.5,2.74,838
39852,0.38,4,5,5,61.9,57.0,4.63,4.65,2.87,1100
36602,0.32,4,6,1,62.6,56.0,4.38,4.4,2.75,477
48495,0.57,4,6,3,61.8,55.0,5.32,5.34,3.29,1981
13777,1.27,3,0,4,62.6,59.0,6.92,6.88,4.32,5618
38591,0.43,4,3,6,61.4,57.0,4.85,4.89,2.99,1037
7864,1.0,1,5,1,62.1,61.0,6.36,6.4,3.96,4307
31569,0.36,3,4,5,62.7,58.0,4.51,4.55,2.84,766
37211,0.34,4,3,7,61.9,55.0,4.51,4.54,2.8,974
52122,0.7,2,3,3,63.3,56.0,5.59,5.66,3.56,2464
16914,1.02,2,5,3,62.9,56.0,6.37,6.47,4.04,6752
6893,0.9,4,3,3,62.7,56.0,6.25,6.15,3.89,4133
37760,0.34,2,4,7,61.1,54.0,4.54,4.56,2.78,999
14479,1.2,3,3,1,62.4,58.0,6.77,6.73,4.21,5846
40739,0.54,1,5,1,63.4,56.0,5.14,5.18,3.27,1163
37331,0.33,2,5,5,60.1,63.0,4.45,4.5,2.69,981
41023,0.5,2,3,2,64.1,57.0,5.04,5.07,3.24,1187
17575,1.02,4,3,4,61.1,56.0,6.51,6.54,3.99,7077
26683,0.33,4,5,1,62.2,54.0,4.44,4.46,2.77,427
28197,0.4,3,6,1,61.1,58.0,4.73,4.76,2.9,666
32595,0.3,4,4,6,61.2,55.0,4.33,4.36,2.66,802
40606,0.23,4,4,3,60.9,57.0,3.96,3.99,2.42,498
29537,0.4,4,2,3,62.4,56.0,4.69,4.73,2.94,704
26349,0.32,3,4,3,60.6,59.0,4.4,4.44,2.68,645
1660,0.75,3,5,3,62.1,57.0,5.9,5.79,3.63,3024
34994,0.4,2,2,5,59.7,57.0,4.83,4.85,2.89,882
7645,1.21,3,0,3,62.4,58.0,6.83,6.79,4.25,4268
44232,0.59,4,6,1,62.3,55.0,5.41,5.38,3.36,1572
39690,0.4,4,4,5,62.4,57.0,4.69,4.73,2.94,1088
53061,0.75,1,6,2,64.1,54.0,5.78,5.76,3.7,2608
28240,0.33,4,3,4,62.1,56.0,4.4,4.42,2.74,666
47270,0.5,4,6,3,61.7,56.0,5.12,5.14,3.16,1844
20832,1.51,2,5,1,62.8,59.0,7.24,7.31,4.57,9058
3041,0.3,2,3,4,62.0,60.0,4.27,4.31,2.66,565
10512,1.03,4,2,2,62.4,56.0,6.45,6.5,4.04,4800
40617,0.26,2,4,3,61.4,56.0,4.09,4.12,2.53,499
48628,0.77,2,0,1,61.2,56.0,5.91,5.96,3.63,2001
34510,0.33,3,3,6,60.9,60.0,4.46,4.5,2.73,868
53858,0.71,2,6,2,63.1,56.0,5.73,5.68,3.6,2743
12945,1.01,2,6,2,60.8,57.0,6.58,6.54,3.99,5386
38756,0.53,2,2,1,61.4,57.0,5.21,5.25,3.21,1046
11460,1.0,2,1,4,61.1,59.9,6.37,6.41,3.9,5009
37330,0.33,2,4,6,63.3,57.0,4.44,4.38,2.79,980
3458,0.79,4,5,1,61.0,57.0,6.0,5.95,3.65,3390
9307,1.21,3,0,2,59.7,60.0,6.93,6.9,4.13,4574
35391,0.41,3,3,4,60.5,58.0,4.76,4.8,2.89,899
17689,1.19,3,3,3,62.3,58.0,6.82,6.77,4.23,7130
30840,0.33,3,2,4,61.0,59.0,4.5,4.45,2.73,743
34089,0.41,2,4,2,63.4,58.0,4.75,4.68,2.99,852
23532,1.6,2,5,1,62.5,54.0,7.5,7.55,4.7,11537
12083,0.9,2,4,3,62.7,58.0,6.12,6.19,3.86,5160
982,0.7,4,3,5,62.1,53.0,5.71,5.75,3.56,2895
43236,0.51,2,6,2,62.2,58.0,5.08,5.11,3.17,1398
35899,0.32,4,3,7,61.3,54.0,4.41,4.47,2.72,918
20964,1.01,2,4,6,63.2,56.0,6.39,6.33,4.02,9176
11551,1.13,4,1,3,62.3,56.0,6.73,6.63,4.16,5031
24386,0.41,1,5,1,63.8,57.0,4.68,4.75,3.01,638
2993,0.9,3,3,1,61.1,58.0,6.18,6.22,3.79,3303
3413,0.39,4,0,2,61.0,56.0,4.71,4.73,2.88,568
29238,0.34,1,4,4,60.6,63.0,4.46,4.59,2.74,696
39594,0.4,4,3,2,61.3,55.0,4.72,4.81,2.92,1084
14907,1.0,3,3,4,60.9,60.0,6.51,6.41,3.91,6000
18442,1.02,2,5,4,61.0,58.0,6.46,6.52,3.96,7503
19263,1.51,4,2,1,62.3,58.0,7.27,7.33,4.55,7990
30453,0.3,1,4,4,63.7,56.0,4.28,4.26,2.72,731
40691,0.5,1,6,1,63.4,59.0,5.0,5.03,3.18,1157
10126,1.0,2,5,2,61.0,61.0,6.4,6.45,3.92,4719
33556,0.41,3,0,4,62.0,55.0,4.77,4.74,2.95,830
5586,1.0,3,0,5,59.6,61.0,6.4,6.36,3.8,3864
42115,0.4,4,5,6,60.8,57.0,4.79,4.82,2.92,1278
5963,0.9,2,4,2,61.7,60.0,6.16,6.22,3.82,3950
51025,0.71,4,2,2,60.7,59.0,5.75,5.81,3.51,2328
15156,1.28,3,1,2,62.6,55.0,6.97,6.93,4.35,6093
52438,0.63,4,5,3,61.5,56.0,5.48,5.54,3.39,2513
10414,0.9,2,3,4,62.7,56.0,6.1,6.14,3.84,4780
31979,0.26,2,4,4,59.5,58.0,4.18,4.23,2.5,453
9512,1.22,1,0,2,63.8,57.0,6.77,6.72,4.3,4612
28599,0.3,4,3,3,62.2,57.0,4.32,4.26,2.67,675
16898,1.0,2,6,3,59.6,60.0,6.52,6.57,3.9,6745
45661,0.5,2,3,4,61.0,58.0,5.08,5.15,3.12,1694
48386,0.5,3,3,6,61.0,60.0,5.08,5.12,3.11,1966
4548,0.85,4,4,3,62.4,57.0,6.13,6.01,3.79,3641
20255,1.41,3,2,3,62.0,58.0,7.19,7.12,4.44,8686
52140,0.76,3,4,1,61.8,58.0,5.83,5.88,3.62,2469
20951,1.2,2,3,5,60.7,60.0,6.8,6.84,4.14,9169
2129,0.72,4,2,3,61.7,56.0,5.74,5.77,3.56,3122
2690,0.84,4,6,1,61.8,56.0,6.04,6.06,3.74,3246
35078,0.3,2,4,7,62.1,57.0,4.26,4.3,2.66,886
47468,0.72,3,1,2,60.8,58.0,5.83,5.78,3.53,1858
48362,0.56,4,6,3,61.4,55.0,5.33,5.35,3.28,1963
29959,0.35,4,0,3,61.4,55.0,4.55,4.57,2.8,446
5188,0.83,4,5,2,61.6,56.0,6.03,6.05,3.72,3775
